ProductName,Category,Brand,UnitPrice
Ski Poles,Home & Furniture,FakeZenithStyle,562
Projector,Arts & Crafts,FakeEtherealEdge,843
Bicycle,Electronics,FakeEtherealEdge,202
Outdoor Umbrella,Electronics,FakeZenithStyle,271
Laser Printer,Electronics,FakeEtherealEdge,720
Soccer Ball,Outdoor & Garden,FakeZenithStyle,164
Telescope,Kitchen & Dining,FakeUrbanGlow,119
Dart Board,Home & Furniture,FakeVelvetVista,430
Coffee Maker,Kitchen & Dining,FakeEtherealEdge,432
Smartwatch,Toys & Games,FakeVelvetVista,840
Puzzle,Toys & Games,FakeEtherealEdge,885
Glasses,Electronics,FakeVelvetVista,147
Tent,Electronics,FakeZenithStyle,316
Smartwatch,Electronics,FakeEtherealEdge,172
Helmet,Sports & Recreation,FakeLuxeAura,214
Garden Hose,Home Appliances,FakeEtherealEdge,346
Backpack,Health & Fitness,FakeLuxeAura,918
Craft Kit,Toys & Games,FakeLuxeAura,648
Lamp,Kitchen & Dining,FakeUrbanGlow,654
Puzzle,Arts & Crafts,FakeZenithStyle,491
Dumbbells,Pets,FakeLuxeAura,554
Dumbbells,Pets,FakeZenithStyle,502
Cooler,Home Appliances,FakeZenithStyle,550
Rain Jacket,Arts & Crafts,FakeZenithStyle,708
Backpacking Stove,Home & Furniture,FakeVelvetVista,885
Water Bottle,Sports & Recreation,FakeLuxeAura,854
Supplement,Arts & Crafts,FakeEtherealEdge,799
Pet Feeder,Arts & Crafts,FakeEtherealEdge,753
Lawn Mower,Home & Furniture,FakeLuxeAura,555
Sleeping Bag,Home Appliances,FakeEtherealEdge,963
Backpack,Home & Furniture,FakeEtherealEdge,413
Elliptical,Home & Furniture,FakeUrbanGlow,681
Soap,Electronics,FakeEtherealEdge,297
Microwave,Home & Furniture,FakeEtherealEdge,477
Art Supplies,Health & Fitness,FakeVelvetVista,288
Electric Kettle,Pets,FakeEtherealEdge,395
Portable Charger,Kitchen & Dining,FakeEtherealEdge,575
Electric Shaver,Toys & Games,FakeEtherealEdge,453
Tent,Electronics,FakeEtherealEdge,524
Doll,Electronics,FakeUrbanGlow,457
Pet Feeder,Arts & Crafts,FakeZenithStyle,736
Refrigerator,Home Appliances,FakeLuxeAura,512
Puzzle,Health & Fitness,FakeEtherealEdge,545
3D Printer,Kitchen & Dining,FakeEtherealEdge,258
Supplement,Sports & Recreation,FakeEtherealEdge,186
Coffee Maker,Outdoor & Garden,FakeLuxeAura,255
Air Conditioner,Sports & Recreation,FakeUrbanGlow,868
Smart Light,Kitchen & Dining,FakeZenithStyle,677
Flashlight,Sports & Recreation,FakeEtherealEdge,113
Snow Shovel,Toys & Games,FakeLuxeAura,615
External SSD,Kitchen & Dining,FakeVelvetVista,141
Humidifier,Arts & Crafts,FakeUrbanGlow,160
Snow Shovel,Arts & Crafts,FakeUrbanGlow,279
Laser Printer,Electronics,FakeLuxeAura,763
Electric Scooter,Home Appliances,FakeVelvetVista,806
Lawn Mower,Arts & Crafts,FakeLuxeAura,399
Building Blocks,Arts & Crafts,FakeEtherealEdge,603
Bird Cage,Kitchen & Dining,FakeLuxeAura,594
Hair Dryer,Arts & Crafts,FakeEtherealEdge,314
Badminton Set,Electronics,FakeEtherealEdge,575
Humidifier,Pets,FakeZenithStyle,978
Home Security Camera,Pets,FakeUrbanGlow,502
Electric Car,Pets,FakeUrbanGlow,658
Blender,Health & Fitness,FakeZenithStyle,922
Doll,Toys & Games,FakeVelvetVista,389
Sled,Arts & Crafts,FakeLuxeAura,207
Home Security Camera,Kitchen & Dining,FakeLuxeAura,522
Laser Printer,Kitchen & Dining,FakeZenithStyle,892
Surfboard,Sports & Recreation,FakeUrbanGlow,225
Outdoor Umbrella,Toys & Games,FakeVelvetVista,934
Camping Chair,Health & Fitness,FakeLuxeAura,531
Microwave,Sports & Recreation,FakeUrbanGlow,766
Home Security Camera,Outdoor & Garden,FakeUrbanGlow,132
Electric Car,Kitchen & Dining,FakeEtherealEdge,667
Patio Furniture,Pets,FakeUrbanGlow,769
Monitor,Pets,FakeVelvetVista,676
Camera,Home & Furniture,FakeLuxeAura,197
Home Security Camera,Sports & Recreation,FakeEtherealEdge,151
Washing Machine,Pets,FakeUrbanGlow,686
Sewing Machine,Toys & Games,FakeZenithStyle,617
Washing Machine,Sports & Recreation,FakeUrbanGlow,734
Tackle Box,Kitchen & Dining,FakeVelvetVista,386
Dumbbells,Pets,FakeLuxeAura,261
Tablet,Home & Furniture,FakeZenithStyle,402
Portable Charger,Kitchen & Dining,FakeUrbanGlow,978
Treadmill,Toys & Games,FakeEtherealEdge,194
Trekking Poles,Home & Furniture,FakeLuxeAura,178
Tent,Sports & Recreation,FakeLuxeAura,895
Yoga Mat,Sports & Recreation,FakeEtherealEdge,927
Lawn Sprinkler,Electronics,FakeVelvetVista,204
Smartphone,Sports & Recreation,FakeEtherealEdge,849
Robot Vacuum,Health & Fitness,FakeVelvetVista,306
Soap,Pets,FakeUrbanGlow,706
Toothpaste,Home Appliances,FakeZenithStyle,469
Binoculars,Toys & Games,FakeUrbanGlow,645
Hair Dryer,Pets,FakeUrbanGlow,686
Backpack,Outdoor & Garden,FakeLuxeAura,404
Elliptical,Home Appliances,FakeLuxeAura,665
Pillow,Toys & Games,FakeEtherealEdge,570
Antivirus,Toys & Games,FakeLuxeAura,761
Golf Clubs,Electronics,FakeLuxeAura,389
Ski Poles,Sports & Recreation,FakeZenithStyle,465
Suitcase,Kitchen & Dining,FakeVelvetVista,224
Rain Jacket,Kitchen & Dining,FakeUrbanGlow,418
Smartwatch,Pets,FakeEtherealEdge,937
Laser Printer,Kitchen & Dining,FakeLuxeAura,151
Headphones,Home Appliances,FakeEtherealEdge,889
Bird Cage,Electronics,FakeEtherealEdge,330
External SSD,Kitchen & Dining,FakeUrbanGlow,369
Rain Jacket,Home Appliances,FakeVelvetVista,662
Electric Scooter,Kitchen & Dining,FakeLuxeAura,312
Microwave,Arts & Crafts,FakeVelvetVista,454
Stove,Pets,FakeEtherealEdge,881
Blender,Home Appliances,FakeUrbanGlow,814
External SSD,Sports & Recreation,FakeEtherealEdge,136
Dog House,Sports & Recreation,FakeLuxeAura,350
Speaker,Home Appliances,FakeEtherealEdge,811
Fan,Home & Furniture,FakeEtherealEdge,723
Binoculars,Pets,FakeEtherealEdge,796
Outdoor Umbrella,Home Appliances,FakeUrbanGlow,690
Dumbbells,Home Appliances,FakeUrbanGlow,724
VR Headset,Home & Furniture,FakeEtherealEdge,863
Fish Food,Pets,FakeEtherealEdge,917
Tent,Toys & Games,FakeZenithStyle,356
Air Purifier,Electronics,FakeEtherealEdge,877
Snow Shovel,Pets,FakeVelvetVista,375
Hiking Boots,Health & Fitness,FakeEtherealEdge,743
Paddleboard,Pets,FakeZenithStyle,770
Hammock,Health & Fitness,FakeEtherealEdge,738
Snowboard,Pets,FakeUrbanGlow,629
Smart Doorbell,Health & Fitness,FakeVelvetVista,984
Antivirus,Health & Fitness,FakeUrbanGlow,703
Toothpaste,Home Appliances,FakeUrbanGlow,370
Telescope,Health & Fitness,FakeEtherealEdge,422
Keyboard,Home & Furniture,FakeLuxeAura,342
Board Game,Home Appliances,FakeVelvetVista,833
Air Conditioner,Toys & Games,FakeZenithStyle,759
Smart Light,Toys & Games,FakeLuxeAura,806
Blender,Home Appliances,FakeVelvetVista,682
Life Jacket,Outdoor & Garden,FakeEtherealEdge,129
Snow Shovel,Pets,FakeUrbanGlow,219
Smartphone,Home Appliances,FakeLuxeAura,748
Basketball,Arts & Crafts,FakeZenithStyle,686
Sleeping Pad,Health & Fitness,FakeVelvetVista,151
Kayak,Health & Fitness,FakeEtherealEdge,825
Smartphone,Health & Fitness,FakeUrbanGlow,130
Cat Litter Box,Health & Fitness,FakeZenithStyle,914
Ski Goggles,Outdoor & Garden,FakeUrbanGlow,525
Mattress,Toys & Games,FakeEtherealEdge,323
Smartwatch,Outdoor & Garden,FakeLuxeAura,777
Badminton Set,Pets,FakeUrbanGlow,814
Headphones,Sports & Recreation,FakeVelvetVista,874
Tackle Box,Health & Fitness,FakeLuxeAura,801
Lamp,Kitchen & Dining,FakeLuxeAura,646
Home Security Camera,Pets,FakeLuxeAura,979
Game Console,Electronics,FakeEtherealEdge,467
Robot Vacuum,Kitchen & Dining,FakeLuxeAura,532
Thermos,Arts & Crafts,FakeVelvetVista,425
Badminton Set,Sports & Recreation,FakeEtherealEdge,430
BBQ Grill,Pets,FakeZenithStyle,412
Air Purifier,Home & Furniture,FakeEtherealEdge,515
Dog House,Kitchen & Dining,FakeZenithStyle,517
Cat Tree,Home Appliances,FakeVelvetVista,206
Electric Shaver,Pets,FakeEtherealEdge,193
Printer,Home Appliances,FakeVelvetVista,621
Fishing Rod,Toys & Games,FakeVelvetVista,311
Tennis Racket,Toys & Games,FakeZenithStyle,997
Sewing Machine,Electronics,FakeUrbanGlow,678
Fitness Tracker,Sports & Recreation,FakeLuxeAura,661
Backpacking Stove,Electronics,FakeEtherealEdge,840
Kayak,Toys & Games,FakeUrbanGlow,430
Pet Feeder,Home Appliances,FakeVelvetVista,921
Hair Dryer,Arts & Crafts,FakeEtherealEdge,512
Refrigerator,Outdoor & Garden,FakeUrbanGlow,218
Camping Tent,Electronics,FakeEtherealEdge,788
Sleeping Pad,Outdoor & Garden,FakeUrbanGlow,621
Camera,Sports & Recreation,FakeUrbanGlow,966
