StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,Manager Name
The Stylish Deals,Exclusive,2003-05-07,18657 Jason Gardens Suite 409 New Cynthia  DC 43682,Dianefurt,New Mexico,Burkina Faso,East,Tina
The Majestic Marketplace,SMB,2012-04-17,615 Logan Hill Gabrielaton  MP 83977,Hamptonfurt,Kentucky,Congo,South,Makayla
The Classy Closet,Exclusive,1982-06-12,535 Patrick Harbor Nancyshire  OH 91833,Smithport,California,Jordan,North,Tonya
The Rustic Perfection,Exclusive,1998-07-14,354 Darius Overpass Apt. 795 North Kevinmouth  MN 59750,New Randy,New York,Lao People's Democratic Republic,South,Rachel
The Golden Emporium,MBO,2016-05-18,17009 Adkins Island Haleshire  NC 65486,Espinozachester,Washington,French Southern Territories,North,Mark
The Artisan Closet,MBO,2000-03-15,1080 Nelson Overpass North Danielleberg  ID 11877,West Tyronetown,Rhode Island,Senegal,East,Jasmine
The Timeless Loft,Exclusive,1979-12-23,618 Daniel Pines Suite 805 Lake Patricia  SC 35089,Kevinburgh,Oregon,Portugal,North,John
The Stylish Hub,Exclusive,2007-11-29,1602 Christopher Springs Suite 887 North Amyview  AK 65981,Lake Baileyfurt,Florida,Korea,West,Jason
The Timeless Closet,Outlet Stores,1987-08-05,7441 Wilson Stream Suite 239 Claymouth  KY 93390,Lake Kevinside,South Dakota,Djibouti,North,Christine
The Chic Vault,MBO,1997-11-03,621 Young Prairie New Chelsea  UT 76830,Lake Christopher,Florida,Guam,North,David
The Purely Corner,Exclusive,1981-03-08,1119 Dale Land East Caseyville  NC 13408,North Alan,Rhode Island,Monaco,South,Jennifer
The Eclectic Loft,MBO,1978-10-23,853 Timothy Way Katherineburgh  HI 54001,Kennethview,Alaska,Costa Rica,West,Sherry
The Trendy Perfection,Outlet Stores,1996-06-22,61660 Baker Cliffs Suite 122 North Kayla  MS 28366,Josephville,Georgia,United States Minor Outlying Islands,North,Michael
The Radiant Shop,Exclusive,1995-07-23,9392 Perry Viaduct South Jonathanhaven  GA 02959,Angelland,New Jersey,Taiwan,West,Douglas
The Purely Oasis,MBO,1986-04-22,Unit 1310 Box 5293 DPO AA 41767,North Garyside,New Jersey,United Kingdom,West,Reginald
The Cozy Quest,MBO,2024-12-22,930 Guzman Prairie Apt. 601 East Michaelhaven  DC 38397,Amandamouth,Wisconsin,Armenia,South,Mary
The Rustic Oasis,MBO,1996-07-13,58383 Hobbs Groves Lake Michellemouth  ND 53516,New Kimberlyfort,Rhode Island,Korea,South,Amanda
The Polished Emporium,Exclusive,1993-07-12,9503 Molly Via Suite 911 East Ryan  NJ 06948,Jonesland,South Carolina,Anguilla,East,James
The Golden Boutique,MBO,2013-04-11,815 Jasmin Corners East John  LA 85549,North Micheleland,North Dakota,Cameroon,East,Larry
The Golden Boutique,SMB,1975-01-09,180 Camacho Divide East Matthew  MO 46651,Port Anthonybury,Illinois,Guinea-Bissau,South,Xavier
The Harmony Cabinet,MBO,1999-03-24,314 Sandoval Expressway New Matthewport  OR 55766,Riceshire,Alaska,Nicaragua,West,Vickie
The Dapper Finds,Exclusive,1990-02-02,752 Garcia Junction Apt. 240 North Michelleland  CT 28649,West Jerrymouth,Oklahoma,Palestinian Territory,South,Ryan
The Chic Treasures,SMB,1997-04-27,380 Sarah Expressway Wilsonside  OH 26058,Woodville,Indiana,Anguilla,East,Frank
The Serene Avenue,Exclusive,1992-12-14,52186 Jennifer Junction Apt. 511 Lake Jonhaven  VI 40595,Carterbury,North Carolina,Spain,North,Taylor
